temp,temp_max,temp_mean,viral_infected,id,viral_load_com,viral_load_standard,mass,immunedata,PO_avg,PO,hemocytes,melanization,gray_scale,percent_melanized,hatch_date,3rd_instar,innoculated,4th_instar,5th_instar,pupation,eclosion,survival,death_state,dod
4,34,31.5,double_infection,VTG_353,-6.178,2.346,0.033,1,14.279,14.279,170,0.5459,145.42,0.27,11/17/2023,11/20/2023,11/20/2023,11/22/2023,11/26/2023,,,na,,
4,34,31.5,double_infection,VTG_348,-5.135,3.040,0.025,1,41.282,41.282,135,0.7858,121.42,0.39,11/17/2023,11/20/2023,11/20/2023,11/22/2023,11/26/2023,,,na,,
4,34,31.5,double_infection,VTG_349,-4.851,2.712,0.023,1,0.229,0.229,59,0.2454,175.46,0.12,11/17/2023,11/20/2023,11/20/2023,11/23/2023,11/26/2023,,,na,,
3,31,28.5,baseline_infection,VTG_117,-4.760,3.593,0.022,1,-0.014,0.000001,86,0.3160,168.40,0.16,10/9/2023,10/12/2023,10/14/2023,10/14/2023,10/19/2023,,,na,,
2,28,25.5,baseline_infection,VTG_311,-4.447,3.640,0.024,1,3.585,3.585,69,0.7928,,,11/13/2023,11/16/2023,11/19/2023,11/21/2023,11/23/2023,,,na,,
3,31,28.5,double_infection,VTG_374,-4.417,3.789,0.023,1,10.007,10.007,90,0.6023,139.77,0.30,11/17/2023,11/20/2023,11/22/2023,11/25/2023,11/28/2023,,,na,,
4,34,31.5,double_infection,VTG_350,-4.313,3.405,0.019,1,2.338,2.338,56,0.6073,139.28,0.30,11/17/2023,11/20/2023,11/20/2023,11/25/2023,11/27/2023,,,na,,
1,25,22.5,baseline_infection,VTG_336,-4.188,4.117,0.023,1,-0.447,0.000001,62,,,,11/13/2023,11/16/2023,11/18/2023,11/19/2023,11/25/2023,,,na,,
3,31,28.5,double_infection,VTG_369,-3.901,3.782,0.024,1,-0.082,0.000001,83,0.4717,152.83,0.24,11/17/2023,11/20/2023,11/22/2023,11/24/2023,11/28/2023,,,na,,
3,31,28.5,baseline_infection,VTG_288,-3.847,4.530,0.036,1,-0.217,0.000001,18,,,,11/13/2023,11/17/2023,11/18/2023,11/21/2023,11/23/2023,,,na,,
1,25,22.5,baseline_infection,VTG_007,-3.812,3.861,0.018,1,2.569,2.569,76,0.8328,116.72,0.42,10/7/2023,10/12/2023,10/13/2023,10/14/2023,10/16/2023,,,na,,
4,34,31.5,baseline_infection,VTG_262,-3.748,4.197,0.021,1,-0.318,0.000001,222,,,,11/13/2023,11/16/2023,11/17/2023,11/18/2023,11/21/2023,,,na,,
2,28,25.5,baseline_infection,VTG_313,-3.702,4.066,0.030,1,3.338,3.338,50,0.6593,,,11/13/2023,11/18/2023,11/19/2023,11/22/2023,11/24/2023,,,na,,
4,34,31.5,baseline_infection,VTG_126,-3.500,3.417,0.025,1,0.322,0.322,67,0.5175,148.25,0.26,10/9/2023,10/12/2023,10/13/2023,10/14/2023,10/19/2023,,,na,,
